0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/fileUpload/product-review-img2.jpg HTTP/1.1" 200 279844
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/fileUpload/product-review-img1.jpg HTTP/1.1" 200 392668
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/f-logo.png HTTP/1.1" 200 15616
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-instagram.png HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/fileUpload/product-review-img6.jpg HTTP/1.1" 200 245613
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-facebook.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-youtube.png HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-arrow-down-blue.png HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-like-off.png HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-cal-arrow-prev.png HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-cal-arrow-next.png HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-checked-off.png HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /source/fonts/NotoSans-Regular.woff HTTP/1.1" 200 235984
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-head-minus.png HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-head-plus.png HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /source/fonts/NotoSans-Bold.woff HTTP/1.1" 200 238600
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-review-arrow-prev.png HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-review-arrow-next.png HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-product-review-chk-blue.png HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-write-btn-w.png HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-recommend-off.png HTTP/1.1" 200 2530
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/product-detail-star.png HTTP/1.1" 200 1876
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /images/icon-like-on.png HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:22:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2022:21:23:06 +0900] "GET /product/listView.jsp?pNo=1 HTTP/1.1" 200 55920
